160	58282	2903	9825	13534	32	15
161	58910	2903	9832	13552	32	18
162	59480	2907	9838	13572	37	20
163	60008	2908	9846	13592	36	20
164	60688	2909	9857	13624	39	32
165	61290	2910	9876	13642	39	18
166	61973	2911	9890	13667	36	25
167	62563	2913	9909	13683	41	16
168	63108	2916	9919	13701	39	18
169	63542	2917	9926	13722	40	21
170	63975	2919	9945	13749	49	27
171	64538	2919	9960	13762	44	13
172	65114	2921	9972	13780	43	18
173	65617	2927	9996	13805	44	25
174	66133	2929	10026	13832	48	27
175	66630	2929	10037	13846	44	14
176	67155	2930	10046	13860	47	14
177	67592	2932	10060	13875	47	15
178	68122	2935	10082	13898	42	23
179	68591	2937	10100	13915	40	17
180	69120	2937	10109	13925	40	10
181	69672	2941	10129	13939	37	14
182	70190	2942	10139	13944	37	5
183	70731	2944	10142	13954	42	10
184	71299	2947	10154	13974	41	20
185	71920	2948	10171	13992	37	18
186	72543	2949	10188	14018	34	26
187	73258	2950	10200	14030	36	12
188	74038	2951	10220	14050	40	20
189	74849	2951	10226	14067	37	17
190	75690	2952	10235	14097	41	30
191	76723	2952	10247	14129	41	32
192	77831	2953	10269	14157	42	28
193	78846	2955	10291	14194	41	37
194	79974	2959	10313	14216	44	22
195	81191	2960	10331	14263	49	47
196	82457	2961	10343	14287	53	24
197	83726	2961	10358	14315	55	28
198	85191	2966	10381	14366	64	51
199	86922	2968	10413	14408	69	42
200	88708	2971	10450	14466	64	58
201	90793	2975	10480	14533	65	67
202	92732	2975	10518	14597	66	64
203	94694	2976	10537	14653	76	56
204	96684	2980	10556	14715	87	62
